ips_id,Código sede,Número sede,num nivel atencion,nivel_calculado,servicio_completo,razon
110010369406,1100103694,06,1,3,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos', 'SALAS - Sala de Cirugía']",Nivel declarado 1 no coincide con calculado 3
110010391601,1100103916,01,1,3,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos', 'SALAS - Sala de Cirugía']",Nivel declarado 1 no coincide con calculado 3
110010399801,1100103998,01,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010401401,1100104014,01,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010403504,1100104035,04,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010403505,1100104035,05,1,3,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos', 'AMBULANCIAS - Medicalizada']",Nivel declarado 1 no coincide con calculado 3
110010403506,1100104035,06,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010403509,1100104035,09,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010403510,1100104035,10,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010403511,1100104035,11,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010403512,1100104035,12,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010403516,1100104035,16,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010416601,1100104166,01,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos', 'UNIDAD MOVIL - Unidad Móvil']",Nivel declarado 1 no coincide con calculado 2
110010440401,1100104404,01,1,2,"['CONSULTORIOS - Consulta Externa', 'UNIDAD MOVIL - Unidad Móvil']",Nivel declarado 1 no coincide con calculado 2
110010452901,1100104529,01,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010485721,1100104857,21,1,2,['SALAS - Procedimientos'],Nivel declarado 1 no coincide con calculado 2
110010485724,1100104857,24,1,2,['SALAS - Procedimientos'],Nivel declarado 1 no coincide con calculado 2
110010507601,1100105076,01,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010522701,1100105227,01,1,3,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos', 'SALAS - Sala de Cirugía']",Nivel declarado 1 no coincide con calculado 3
110010527101,1100105271,01,1,3,"['CONSULTORIOS - Consulta Externa', 'SALAS - Sala de Cirugía']",Nivel declarado 1 no coincide con calculado 3
110010532201,1100105322,01,3,2,"['CONSULTORIOS - Urgencias', 'CONSULTORIOS - Consulta Externa', 'CAMAS - Salud Mental Pediátrico', 'CAMAS - Salud Mental Adulto', 'CAMILLAS - Salud Mental']",Nivel declarado 3 no coincide con calculado 2
110010534101,1100105341,01,1,3,"['CONSULTORIOS - Consulta Externa', 'SALAS - Sala de Cirugía']",Nivel declarado 1 no coincide con calculado 3
110010546401,1100105464,01,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010548004,1100105480,04,1,3,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos', 'SALAS - Sala de Cirugía']",Nivel declarado 1 no coincide con calculado 3
110010548024,1100105480,24,1,3,"['CONSULTORIOS - Consulta Externa', 'SALAS - Sala de Cirugía']",Nivel declarado 1 no coincide con calculado 3
110010559701,1100105597,01,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010559702,1100105597,02,2,3,"['SALAS - Procedimientos', 'SALAS - Sala de Cirugía', 'CAMAS - Cuidado Intermedio Adulto', 'CONSULTORIOS - Consulta Externa', 'CAMAS - Cuidado Intensivo Adulto', 'CAMAS - Adultos']",Nivel declarado 2 no coincide con calculado 3
110010559703,1100105597,03,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010559704,1100105597,04,3,2,"['CAMILLAS - Observación Adultos Mujeres', 'CAMILLAS - Observación Adultos Hombres', 'CONSULTORIOS - Urgencias', 'SALAS - Procedimientos', 'CAMILLAS - Observación Pediátrica', 'CONSULTORIOS - Consulta Externa']",Nivel declarado 3 no coincide con calculado 2
110010559705,1100105597,05,1,3,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos', 'SALAS - Sala de Cirugía']",Nivel declarado 1 no coincide con calculado 3
110010559711,1100105597,11,3,2,"['CAMILLAS - Observación Adultos Mujeres', 'CAMILLAS - Observación Adultos Hombres', 'CONSULTORIOS - Urgencias', 'SALAS - Procedimientos', 'CAMILLAS - Observación Pediátrica', 'CONSULTORIOS - Consulta Externa']",Nivel declarado 3 no coincide con calculado 2
110010559712,1100105597,12,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010559730,1100105597,30,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010559732,1100105597,32,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010559735,1100105597,35,2,3,"['CAMAS - Intensiva Adultos', 'SALAS - Procedimientos', 'SALAS - Sala de Cirugía', 'CAMAS - Cuidado Intermedio Adulto', 'CONSULTORIOS - Consulta Externa', 'CAMAS - Intermedia Adultos', 'CAMAS - Adultos']",Nivel declarado 2 no coincide con calculado 3
110010559736,1100105597,36,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010559737,1100105597,37,1,3,"['SALAS - Partos', 'CAMAS - Incubadora Intermedia Neonatal', 'CAMAS - Intensiva Adultos', 'CAMAS - Incubadora Básico Neonatal', 'SALAS - Procedimientos', 'CAMAS - TPR', 'SALAS - Sala de Cirugía', 'CAMAS - Intermedia Pediátrica', 'CONSULTORIOS - Consulta Externa', 'CAMAS - Pediátrica', 'CAMAS - Intermedia Adultos', 'CAMAS - Intensiva Pediátrica', 'CAMAS - Adultos', 'CAMAS - Incubadora Intensiva Neonatal']",Nivel declarado 1 no coincide con calculado 3
110010559739,1100105597,39,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010561805,1100105618,05,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos']",Nivel declarado 1 no coincide con calculado 2
110010561810,1100105618,10,1,2,"['CONSULTORIOS - Consulta Externa', 'SALAS - Procedimientos', 'CAMAS - Adultos']",Nivel declarado 1 no coincide con calculado 2
